"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Clcn3" "ENSMUSG00000004319_Clcn3" "protein_coding" "8" "ENSMUSG00000004319" "Clcn3" "Clcn3"
"Hif3a" "ENSMUSG00000004328_Hif3a" "protein_coding" "7" "ENSMUSG00000004328" "Hif3a" "Hif3a"
"Gpx6" "ENSMUSG00000004341_Gpx6" "protein_coding" "13" "ENSMUSG00000004341" "Gpx6" "Gpx6"
"Gpx5" "ENSMUSG00000004344_Gpx5" "protein_coding" "13" "ENSMUSG00000004344" "Gpx5" "Gpx5"
"Pde1c" "ENSMUSG00000004347_Pde1c" "protein_coding" "6" "ENSMUSG00000004347" "Pde1c" "Pde1c"
"Utp20" "ENSMUSG00000004356_Utp20" "protein_coding" "10" "ENSMUSG00000004356" "Utp20" "Utp20"
"Spic" "ENSMUSG00000004359_Spic" "protein_coding" "10" "ENSMUSG00000004359" "Spic" "Spic"
"9330159F19Rik" "ENSMUSG00000004360_9330159F19Rik" "protein_coding" "10" "ENSMUSG00000004360" "9330159F19Rik" "9330159F19Rik"
"Cul3" "ENSMUSG00000004364_Cul3" "protein_coding" "1" "ENSMUSG00000004364" "Cul3" "Cul3"
"Sst" "ENSMUSG00000004366_Sst" "protein_coding" "16" "ENSMUSG00000004366" "Sst" "Sst"
"Il11" "ENSMUSG00000004371_Il11" "protein_coding" "7" "ENSMUSG00000004371" "Il11" "Il11"
"Large1" "ENSMUSG00000004383_Large1" "protein_coding" "8" "ENSMUSG00000004383" "Large1" "Large1"
"Ddx56" "ENSMUSG00000004393_Ddx56" "protein_coding" "11" "ENSMUSG00000004393" "Ddx56" "Ddx56"
"Tmed4" "ENSMUSG00000004394_Tmed4" "protein_coding" "11" "ENSMUSG00000004394" "Tmed4" "Tmed4"
"Col26a1" "ENSMUSG00000004415_Col26a1" "protein_coding" "5" "ENSMUSG00000004415" "Col26a1" "Col26a1"
"Bid" "ENSMUSG00000004446_Bid" "protein_coding" "6" "ENSMUSG00000004446" "Bid" "Bid"
"Ralb" "ENSMUSG00000004451_Ralb" "protein_coding" "1" "ENSMUSG00000004451" "Ralb" "Ralb"
"Ppp1cc" "ENSMUSG00000004455_Ppp1cc" "protein_coding" "5" "ENSMUSG00000004455" "Ppp1cc" "Ppp1cc"
"Dnajb11" "ENSMUSG00000004460_Dnajb11" "protein_coding" "16" "ENSMUSG00000004460" "Dnajb11" "Dnajb11"
"Tbccd1" "ENSMUSG00000004462_Tbccd1" "protein_coding" "16" "ENSMUSG00000004462" "Tbccd1" "Tbccd1"
"Clec11a" "ENSMUSG00000004473_Clec11a" "protein_coding" "7" "ENSMUSG00000004473" "Clec11a" "Clec11a"
"Zfp324" "ENSMUSG00000004500_Zfp324" "protein_coding" "7" "ENSMUSG00000004500" "Zfp324" "Zfp324"
"Gab2" "ENSMUSG00000004508_Gab2" "protein_coding" "7" "ENSMUSG00000004508" "Gab2" "Gab2"
"Coro1c" "ENSMUSG00000004530_Coro1c" "protein_coding" "5" "ENSMUSG00000004530" "Coro1c" "Coro1c"
"Tax1bp1" "ENSMUSG00000004535_Tax1bp1" "protein_coding" "6" "ENSMUSG00000004535" "Tax1bp1" "Tax1bp1"
"Psg17" "ENSMUSG00000004540_Psg17" "protein_coding" "7" "ENSMUSG00000004540" "Psg17" "Psg17"
"Psg19" "ENSMUSG00000004542_Psg19" "protein_coding" "7" "ENSMUSG00000004542" "Psg19" "Psg19"
"Ctse" "ENSMUSG00000004552_Ctse" "protein_coding" "1" "ENSMUSG00000004552" "Ctse" "Ctse"
"Ndrg2" "ENSMUSG00000004558_Ndrg2" "protein_coding" "14" "ENSMUSG00000004558" "Ndrg2" "Ndrg2"
"Mettl17" "ENSMUSG00000004561_Mettl17" "protein_coding" "14" "ENSMUSG00000004561" "Mettl17" "Mettl17"
"Arhgef40" "ENSMUSG00000004562_Arhgef40" "protein_coding" "14" "ENSMUSG00000004562" "Arhgef40" "Arhgef40"
"Pnpla6" "ENSMUSG00000004565_Pnpla6" "protein_coding" "8" "ENSMUSG00000004565" "Pnpla6" "Pnpla6"
"Mcoln1" "ENSMUSG00000004567_Mcoln1" "protein_coding" "8" "ENSMUSG00000004567" "Mcoln1" "Mcoln1"
"Arhgef18" "ENSMUSG00000004568_Arhgef18" "protein_coding" "8" "ENSMUSG00000004568" "Arhgef18" "Arhgef18"
"Pkn2" "ENSMUSG00000004591_Pkn2" "protein_coding" "3" "ENSMUSG00000004591" "Pkn2" "Pkn2"
"Cd33" "ENSMUSG00000004609_Cd33" "protein_coding" "7" "ENSMUSG00000004609" "Cd33" "Cd33"
"Etfb" "ENSMUSG00000004610_Etfb" "protein_coding" "7" "ENSMUSG00000004610" "Etfb" "Etfb"
"Nkg7" "ENSMUSG00000004612_Nkg7" "protein_coding" "7" "ENSMUSG00000004612" "Nkg7" "Nkg7"
"Stxbp2" "ENSMUSG00000004626_Stxbp2" "protein_coding" "8" "ENSMUSG00000004626" "Stxbp2" "Stxbp2"
"Pcp2" "ENSMUSG00000004630_Pcp2" "protein_coding" "8" "ENSMUSG00000004630" "Pcp2" "Pcp2"
"Sgce" "ENSMUSG00000004631_Sgce" "protein_coding" "6" "ENSMUSG00000004631" "Sgce" "Sgce"
"Chn2" "ENSMUSG00000004633_Chn2" "protein_coding" "6" "ENSMUSG00000004633" "Chn2" "Chn2"
"Wwox" "ENSMUSG00000004637_Wwox" "protein_coding" "8" "ENSMUSG00000004637" "Wwox" "Wwox"
"Slbp" "ENSMUSG00000004642_Slbp" "protein_coding" "5" "ENSMUSG00000004642" "Slbp" "Slbp"
"Tyr" "ENSMUSG00000004651_Tyr" "protein_coding" "7" "ENSMUSG00000004651" "Tyr" "Tyr"
"Ghrhr" "ENSMUSG00000004654_Ghrhr" "protein_coding" "6" "ENSMUSG00000004654" "Ghrhr" "Ghrhr"
"Aqp1" "ENSMUSG00000004655_Aqp1" "protein_coding" "6" "ENSMUSG00000004655" "Aqp1" "Aqp1"
"Arid3b" "ENSMUSG00000004661_Arid3b" "protein_coding" "9" "ENSMUSG00000004661" "Arid3b" "Arid3b"
"Cnn2" "ENSMUSG00000004665_Cnn2" "protein_coding" "10" "ENSMUSG00000004665" "Cnn2" "Cnn2"
"Polr2e" "ENSMUSG00000004667_Polr2e" "protein_coding" "10" "ENSMUSG00000004667" "Polr2e" "Polr2e"
"Abca13" "ENSMUSG00000004668_Abca13" "protein_coding" "11" "ENSMUSG00000004668" "Abca13" "Abca13"
"Myo9b" "ENSMUSG00000004677_Myo9b" "protein_coding" "8" "ENSMUSG00000004677" "Myo9b" "Myo9b"
"Hdac9" "ENSMUSG00000004698_Hdac9" "protein_coding" "12" "ENSMUSG00000004698" "Hdac9" "Hdac9"
"Ly9" "ENSMUSG00000004707_Ly9" "protein_coding" "1" "ENSMUSG00000004707" "Ly9" "Ly9"
"Cd244" "ENSMUSG00000004709_Cd244" "protein_coding" "1" "ENSMUSG00000004709" "Cd244" "Cd244"
"Adgre1" "ENSMUSG00000004730_Adgre1" "protein_coding" "17" "ENSMUSG00000004730" "Adgre1" "Adgre1"
"Mtfp1" "ENSMUSG00000004748_Mtfp1" "protein_coding" "11" "ENSMUSG00000004748" "Mtfp1" "Mtfp1"
"Rab23" "ENSMUSG00000004768_Rab23" "protein_coding" "1" "ENSMUSG00000004768" "Rab23" "Rab23"
"Rab11a" "ENSMUSG00000004771_Rab11a" "protein_coding" "9" "ENSMUSG00000004771" "Rab11a" "Rab11a"
"Eif2b2" "ENSMUSG00000004788_Eif2b2" "protein_coding" "12" "ENSMUSG00000004788" "Eif2b2" "Eif2b2"
"Dlst" "ENSMUSG00000004789_Dlst" "protein_coding" "12" "ENSMUSG00000004789" "Dlst" "Dlst"
"Pgf" "ENSMUSG00000004791_Pgf" "protein_coding" "12" "ENSMUSG00000004791" "Pgf" "Pgf"
"Ulk2" "ENSMUSG00000004798_Ulk2" "protein_coding" "11" "ENSMUSG00000004798" "Ulk2" "Ulk2"
"Ccl24" "ENSMUSG00000004814_Ccl24" "protein_coding" "5" "ENSMUSG00000004814" "Ccl24" "Ccl24"
"Dgkq" "ENSMUSG00000004815_Dgkq" "protein_coding" "5" "ENSMUSG00000004815" "Dgkq" "Dgkq"
"Grap" "ENSMUSG00000004837_Grap" "protein_coding" "11" "ENSMUSG00000004837" "Grap" "Grap"
"Pou1f1" "ENSMUSG00000004842_Pou1f1" "protein_coding" "16" "ENSMUSG00000004842" "Pou1f1" "Pou1f1"
"Chmp2b" "ENSMUSG00000004843_Chmp2b" "protein_coding" "16" "ENSMUSG00000004843" "Chmp2b" "Chmp2b"
"Plod3" "ENSMUSG00000004846_Plod3" "protein_coding" "5" "ENSMUSG00000004846" "Plod3" "Plod3"
"Ap1s1" "ENSMUSG00000004849_Ap1s1" "protein_coding" "5" "ENSMUSG00000004849" "Ap1s1" "Ap1s1"
"Mapk13" "ENSMUSG00000004864_Mapk13" "protein_coding" "17" "ENSMUSG00000004864" "Mapk13" "Mapk13"
"Srpk1" "ENSMUSG00000004865_Srpk1" "protein_coding" "17" "ENSMUSG00000004865" "Srpk1" "Srpk1"
"Pax3" "ENSMUSG00000004872_Pax3" "protein_coding" "1" "ENSMUSG00000004872" "Pax3" "Pax3"
"Lbr" "ENSMUSG00000004880_Lbr" "protein_coding" "1" "ENSMUSG00000004880" "Lbr" "Lbr"
"Crabp2" "ENSMUSG00000004885_Crabp2" "protein_coding" "3" "ENSMUSG00000004885" "Crabp2" "Crabp2"
"Nes" "ENSMUSG00000004891_Nes" "protein_coding" "3" "ENSMUSG00000004891" "Nes" "Nes"
"Bcan" "ENSMUSG00000004892_Bcan" "protein_coding" "3" "ENSMUSG00000004892" "Bcan" "Bcan"
"Hapln2" "ENSMUSG00000004894_Hapln2" "protein_coding" "3" "ENSMUSG00000004894" "Hapln2" "Hapln2"
"Prcc" "ENSMUSG00000004895_Prcc" "protein_coding" "3" "ENSMUSG00000004895" "Prcc" "Prcc"
"Rrnad1" "ENSMUSG00000004896_Rrnad1" "protein_coding" "3" "ENSMUSG00000004896" "Rrnad1" "Rrnad1"
"Hdgf" "ENSMUSG00000004897_Hdgf" "protein_coding" "3" "ENSMUSG00000004897" "Hdgf" "Hdgf"
"Slc25a18" "ENSMUSG00000004902_Slc25a18" "protein_coding" "6" "ENSMUSG00000004902" "Slc25a18" "Slc25a18"
"Thop1" "ENSMUSG00000004929_Thop1" "protein_coding" "10" "ENSMUSG00000004929" "Thop1" "Thop1"
"Apba3" "ENSMUSG00000004931_Apba3" "protein_coding" "10" "ENSMUSG00000004931" "Apba3" "Apba3"
"Matk" "ENSMUSG00000004933_Matk" "protein_coding" "10" "ENSMUSG00000004933" "Matk" "Matk"
"Pias4" "ENSMUSG00000004934_Pias4" "protein_coding" "10" "ENSMUSG00000004934" "Pias4" "Pias4"
"Map2k1" "ENSMUSG00000004936_Map2k1" "protein_coding" "9" "ENSMUSG00000004936" "Map2k1" "Map2k1"
"Sgta" "ENSMUSG00000004937_Sgta" "protein_coding" "10" "ENSMUSG00000004937" "Sgta" "Sgta"
"Nmrk2" "ENSMUSG00000004939_Nmrk2" "protein_coding" "10" "ENSMUSG00000004939" "Nmrk2" "Nmrk2"
"Tmem242" "ENSMUSG00000004945_Tmem242" "protein_coding" "17" "ENSMUSG00000004945" "Tmem242" "Tmem242"
"Dtx2" "ENSMUSG00000004947_Dtx2" "protein_coding" "5" "ENSMUSG00000004947" "Dtx2" "Dtx2"
"Zp3" "ENSMUSG00000004948_Zp3" "protein_coding" "5" "ENSMUSG00000004948" "Zp3" "Zp3"
"Hspb1" "ENSMUSG00000004951_Hspb1" "protein_coding" "5" "ENSMUSG00000004951" "Hspb1" "Hspb1"
"Rasa4" "ENSMUSG00000004952_Rasa4" "protein_coding" "5" "ENSMUSG00000004952" "Rasa4" "Rasa4"
"Syt5" "ENSMUSG00000004961_Syt5" "protein_coding" "7" "ENSMUSG00000004961" "Syt5" "Syt5"
"Hnrnpa2b1" "ENSMUSG00000004980_Hnrnpa2b1" "protein_coding" "6" "ENSMUSG00000004980" "Hnrnpa2b1" "Hnrnpa2b1"
"Fxyd4" "ENSMUSG00000004988_Fxyd4" "protein_coding" "6" "ENSMUSG00000004988" "Fxyd4" "Fxyd4"
"Ccdc130" "ENSMUSG00000004994_Ccdc130" "protein_coding" "8" "ENSMUSG00000004994" "Ccdc130" "Ccdc130"
"Mri1" "ENSMUSG00000004996_Mri1" "protein_coding" "8" "ENSMUSG00000004996" "Mri1" "Mri1"
"Prkacb" "ENSMUSG00000005034_Prkacb" "protein_coding" "3" "ENSMUSG00000005034" "Prkacb" "Prkacb"
"Sgsh" "ENSMUSG00000005043_Sgsh" "protein_coding" "11" "ENSMUSG00000005043" "Sgsh" "Sgsh"
"Chd5" "ENSMUSG00000005045_Chd5" "protein_coding" "4" "ENSMUSG00000005045" "Chd5" "Chd5"
"Cstb" "ENSMUSG00000005054_Cstb" "protein_coding" "10" "ENSMUSG00000005054" "Cstb" "Cstb"
"Sh2b2" "ENSMUSG00000005057_Sh2b2" "protein_coding" "5" "ENSMUSG00000005057" "Sh2b2" "Sh2b2"
"Pex5" "ENSMUSG00000005069_Pex5" "protein_coding" "6" "ENSMUSG00000005069" "Pex5" "Pex5"
"Jkamp" "ENSMUSG00000005078_Jkamp" "protein_coding" "12" "ENSMUSG00000005078" "Jkamp" "Jkamp"
"Cd44" "ENSMUSG00000005087_Cd44" "protein_coding" "2" "ENSMUSG00000005087" "Cd44" "Cd44"
"Slc1a2" "ENSMUSG00000005089_Slc1a2" "protein_coding" "2" "ENSMUSG00000005089" "Slc1a2" "Slc1a2"
"Eif2ak4" "ENSMUSG00000005102_Eif2ak4" "protein_coding" "2" "ENSMUSG00000005102" "Eif2ak4" "Eif2ak4"
"Wdr1" "ENSMUSG00000005103_Wdr1" "protein_coding" "5" "ENSMUSG00000005103" "Wdr1" "Wdr1"
"Slc2a9" "ENSMUSG00000005107_Slc2a9" "protein_coding" "5" "ENSMUSG00000005107" "Slc2a9" "Slc2a9"
"Wisp1" "ENSMUSG00000005124_Wisp1" "protein_coding" "15" "ENSMUSG00000005124" "Wisp1" "Wisp1"
"Ndrg1" "ENSMUSG00000005125_Ndrg1" "protein_coding" "15" "ENSMUSG00000005125" "Ndrg1" "Ndrg1"
"4930550C14Rik" "ENSMUSG00000005131_4930550C14Rik" "protein_coding" "9" "ENSMUSG00000005131" "4930550C14Rik" "4930550C14Rik"
"Man2b1" "ENSMUSG00000005142_Man2b1" "protein_coding" "8" "ENSMUSG00000005142" "Man2b1" "Man2b1"
"Klf5" "ENSMUSG00000005148_Klf5" "protein_coding" "14" "ENSMUSG00000005148" "Klf5" "Klf5"
"Wdr83" "ENSMUSG00000005150_Wdr83" "protein_coding" "8" "ENSMUSG00000005150" "Wdr83" "Wdr83"
"Prdx2" "ENSMUSG00000005161_Prdx2" "protein_coding" "8" "ENSMUSG00000005161" "Prdx2" "Prdx2"
"Polr2a" "ENSMUSG00000005198_Polr2a" "protein_coding" "11" "ENSMUSG00000005198" "Polr2a" "Polr2a"
"Shbg" "ENSMUSG00000005202_Shbg" "protein_coding" "11" "ENSMUSG00000005202" "Shbg" "Shbg"
"Senp3" "ENSMUSG00000005204_Senp3" "protein_coding" "11" "ENSMUSG00000005204" "Senp3" "Senp3"
"Corin" "ENSMUSG00000005220_Corin" "protein_coding" "5" "ENSMUSG00000005220" "Corin" "Corin"
"Plekha8" "ENSMUSG00000005225_Plekha8" "protein_coding" "6" "ENSMUSG00000005225" "Plekha8" "Plekha8"
"G6pc2" "ENSMUSG00000005232_G6pc2" "protein_coding" "2" "ENSMUSG00000005232" "G6pc2" "G6pc2"
"Spc25" "ENSMUSG00000005233_Spc25" "protein_coding" "2" "ENSMUSG00000005233" "Spc25" "Spc25"
"Dnah2" "ENSMUSG00000005237_Dnah2" "protein_coding" "11" "ENSMUSG00000005237" "Dnah2" "Dnah2"
"Ripk4" "ENSMUSG00000005251_Ripk4" "protein_coding" "16" "ENSMUSG00000005251" "Ripk4" "Ripk4"
"Ufd1" "ENSMUSG00000005262_Ufd1" "protein_coding" "16" "ENSMUSG00000005262" "Ufd1" "Ufd1"
"Zfp287" "ENSMUSG00000005267_Zfp287" "protein_coding" "11" "ENSMUSG00000005267" "Zfp287" "Zfp287"
"Prlr" "ENSMUSG00000005268_Prlr" "protein_coding" "15" "ENSMUSG00000005268" "Prlr" "Prlr"
"Letm1" "ENSMUSG00000005299_Letm1" "protein_coding" "5" "ENSMUSG00000005299" "Letm1" "Letm1"
"Ubqln1" "ENSMUSG00000005312_Ubqln1" "protein_coding" "13" "ENSMUSG00000005312" "Ubqln1" "Ubqln1"
"Fgfr4" "ENSMUSG00000005320_Fgfr4" "protein_coding" "13" "ENSMUSG00000005320" "Fgfr4" "Fgfr4"
"Cadm3" "ENSMUSG00000005338_Cadm3" "protein_coding" "1" "ENSMUSG00000005338" "Cadm3" "Cadm3"
"Fcer1a" "ENSMUSG00000005339_Fcer1a" "protein_coding" "1" "ENSMUSG00000005339" "Fcer1a" "Fcer1a"
"Txn2" "ENSMUSG00000005354_Txn2" "protein_coding" "15" "ENSMUSG00000005354" "Txn2" "Txn2"
"Casp14" "ENSMUSG00000005355_Casp14" "protein_coding" "10" "ENSMUSG00000005355" "Casp14" "Casp14"
"Slc1a6" "ENSMUSG00000005357_Slc1a6" "protein_coding" "10" "ENSMUSG00000005357" "Slc1a6" "Slc1a6"
"Slc1a3" "ENSMUSG00000005360_Slc1a3" "protein_coding" "15" "ENSMUSG00000005360" "Slc1a3" "Slc1a3"
"Crbn" "ENSMUSG00000005362_Crbn" "protein_coding" "6" "ENSMUSG00000005362" "Crbn" "Crbn"
"Il5ra" "ENSMUSG00000005364_Il5ra" "protein_coding" "6" "ENSMUSG00000005364" "Il5ra" "Il5ra"
"Msh6" "ENSMUSG00000005370_Msh6" "protein_coding" "17" "ENSMUSG00000005370" "Msh6" "Msh6"
"Fbxo11" "ENSMUSG00000005371_Fbxo11" "protein_coding" "17" "ENSMUSG00000005371" "Fbxo11" "Fbxo11"
"Mlxipl" "ENSMUSG00000005373_Mlxipl" "protein_coding" "5" "ENSMUSG00000005373" "Mlxipl" "Mlxipl"
"Tbl2" "ENSMUSG00000005374_Tbl2" "protein_coding" "5" "ENSMUSG00000005374" "Tbl2" "Tbl2"
"Bud23" "ENSMUSG00000005378_Bud23" "protein_coding" "5" "ENSMUSG00000005378" "Bud23" "Bud23"
"Nid1" "ENSMUSG00000005397_Nid1" "protein_coding" "13" "ENSMUSG00000005397" "Nid1" "Nid1"
"Mcm5" "ENSMUSG00000005410_Mcm5" "protein_coding" "8" "ENSMUSG00000005410" "Mcm5" "Mcm5"
"Hmox1" "ENSMUSG00000005413_Hmox1" "protein_coding" "8" "ENSMUSG00000005413" "Hmox1" "Hmox1"
"Mprip" "ENSMUSG00000005417_Mprip" "protein_coding" "11" "ENSMUSG00000005417" "Mprip" "Mprip"
"Cic" "ENSMUSG00000005442_Cic" "protein_coding" "7" "ENSMUSG00000005442" "Cic" "Cic"
"Pafah1b3" "ENSMUSG00000005447_Pafah1b3" "protein_coding" "7" "ENSMUSG00000005447" "Pafah1b3" "Pafah1b3"
"Il27ra" "ENSMUSG00000005465_Il27ra" "protein_coding" "8" "ENSMUSG00000005465" "Il27ra" "Il27ra"
"Prkaca" "ENSMUSG00000005469_Prkaca" "protein_coding" "8" "ENSMUSG00000005469" "Prkaca" "Prkaca"
"Asf1b" "ENSMUSG00000005470_Asf1b" "protein_coding" "8" "ENSMUSG00000005470" "Asf1b" "Asf1b"
"Myl10" "ENSMUSG00000005474_Myl10" "protein_coding" "5" "ENSMUSG00000005474" "Myl10" "Myl10"
"Ddx39" "ENSMUSG00000005481_Ddx39" "protein_coding" "8" "ENSMUSG00000005481" "Ddx39" "Ddx39"
"Dnajb1" "ENSMUSG00000005483_Dnajb1" "protein_coding" "8" "ENSMUSG00000005483" "Dnajb1" "Dnajb1"
"Msh4" "ENSMUSG00000005493_Msh4" "protein_coding" "3" "ENSMUSG00000005493" "Msh4" "Msh4"
"Usp40" "ENSMUSG00000005501_Usp40" "protein_coding" "1" "ENSMUSG00000005501" "Usp40" "Usp40"
"Kbtbd4" "ENSMUSG00000005505_Kbtbd4" "protein_coding" "2" "ENSMUSG00000005505" "Kbtbd4" "Kbtbd4"
"Celf1" "ENSMUSG00000005506_Celf1" "protein_coding" "2" "ENSMUSG00000005506" "Celf1" "Celf1"
"Ndufs3" "ENSMUSG00000005510_Ndufs3" "protein_coding" "2" "ENSMUSG00000005510" "Ndufs3" "Ndufs3"
"Por" "ENSMUSG00000005514_Por" "protein_coding" "5" "ENSMUSG00000005514" "Por" "Por"
"Igf1r" "ENSMUSG00000005533_Igf1r" "protein_coding" "7" "ENSMUSG00000005533" "Igf1r" "Igf1r"
"Insr" "ENSMUSG00000005534_Insr" "protein_coding" "8" "ENSMUSG00000005534" "Insr" "Insr"
"Cyp2a5" "ENSMUSG00000005547_Cyp2a5" "protein_coding" "7" "ENSMUSG00000005547" "Cyp2a5" "Cyp2a5"
"Atp4a" "ENSMUSG00000005553_Atp4a" "protein_coding" "7" "ENSMUSG00000005553" "Atp4a" "Atp4a"
"Trim28" "ENSMUSG00000005566_Trim28" "protein_coding" "7" "ENSMUSG00000005566" "Trim28" "Trim28"
"Ube2m" "ENSMUSG00000005575_Ube2m" "protein_coding" "7" "ENSMUSG00000005575" "Ube2m" "Ube2m"
"Adcy9" "ENSMUSG00000005580_Adcy9" "protein_coding" "16" "ENSMUSG00000005580" "Adcy9" "Adcy9"
"Mef2c" "ENSMUSG00000005583_Mef2c" "protein_coding" "13" "ENSMUSG00000005583" "Mef2c" "Mef2c"
"Ctr9" "ENSMUSG00000005609_Ctr9" "protein_coding" "7" "ENSMUSG00000005609" "Ctr9" "Ctr9"
"Eif4g2" "ENSMUSG00000005610_Eif4g2" "protein_coding" "7" "ENSMUSG00000005610" "Eif4g2" "Eif4g2"
"Mrvi1" "ENSMUSG00000005611_Mrvi1" "protein_coding" "7" "ENSMUSG00000005611" "Mrvi1" "Mrvi1"
"Pcyt1a" "ENSMUSG00000005615_Pcyt1a" "protein_coding" "16" "ENSMUSG00000005615" "Pcyt1a" "Pcyt1a"
"Zfp592" "ENSMUSG00000005621_Zfp592" "protein_coding" "7" "ENSMUSG00000005621" "Zfp592" "Zfp592"
"Psmd4" "ENSMUSG00000005625_Psmd4" "protein_coding" "3" "ENSMUSG00000005625" "Psmd4" "Psmd4"
"Tmod4" "ENSMUSG00000005628_Tmod4" "protein_coding" "3" "ENSMUSG00000005628" "Tmod4" "Tmod4"
"Insrr" "ENSMUSG00000005640_Insrr" "protein_coding" "3" "ENSMUSG00000005640" "Insrr" "Insrr"
"Cabp5" "ENSMUSG00000005649_Cabp5" "protein_coding" "7" "ENSMUSG00000005649" "Cabp5" "Cabp5"
"Snx6" "ENSMUSG00000005656_Snx6" "protein_coding" "12" "ENSMUSG00000005656" "Snx6" "Snx6"
"Mthfd2" "ENSMUSG00000005667_Mthfd2" "protein_coding" "6" "ENSMUSG00000005667" "Mthfd2" "Mthfd2"
"Kit" "ENSMUSG00000005672_Kit" "protein_coding" "5" "ENSMUSG00000005672" "Kit" "Kit"
"Tomm40l" "ENSMUSG00000005674_Tomm40l" "protein_coding" "1" "ENSMUSG00000005674" "Tomm40l" "Tomm40l"
"Nr1i3" "ENSMUSG00000005677_Nr1i3" "protein_coding" "1" "ENSMUSG00000005677" "Nr1i3" "Nr1i3"
"Apoa2" "ENSMUSG00000005681_Apoa2" "protein_coding" "1" "ENSMUSG00000005681" "Apoa2" "Apoa2"
"Pan2" "ENSMUSG00000005682_Pan2" "protein_coding" "10" "ENSMUSG00000005682" "Pan2" "Pan2"
"Cs" "ENSMUSG00000005683_Cs" "protein_coding" "10" "ENSMUSG00000005683" "Cs" "Cs"
"Ampd3" "ENSMUSG00000005686_Ampd3" "protein_coding" "7" "ENSMUSG00000005686" "Ampd3" "Ampd3"
"Bcas2" "ENSMUSG00000005687_Bcas2" "protein_coding" "3" "ENSMUSG00000005687" "Bcas2" "Bcas2"
"Sh2d1a" "ENSMUSG00000005696_Sh2d1a" "protein_coding" "X" "ENSMUSG00000005696" "Sh2d1a" "Sh2d1a"
"Ctcf" "ENSMUSG00000005698_Ctcf" "protein_coding" "8" "ENSMUSG00000005698" "Ctcf" "Ctcf"
"Pard6a" "ENSMUSG00000005699_Pard6a" "protein_coding" "8" "ENSMUSG00000005699" "Pard6a" "Pard6a"
"Agrp" "ENSMUSG00000005705_Agrp" "protein_coding" "8" "ENSMUSG00000005705" "Agrp" "Agrp"
"Pvalb" "ENSMUSG00000005716_Pvalb" "protein_coding" "15" "ENSMUSG00000005716" "Pvalb" "Pvalb"
"Tfap4" "ENSMUSG00000005718_Tfap4" "protein_coding" "16" "ENSMUSG00000005718" "Tfap4" "Tfap4"
"Ranbp1" "ENSMUSG00000005732_Ranbp1" "protein_coding" "16" "ENSMUSG00000005732" "Ranbp1" "Ranbp1"
"Cd247" "ENSMUSG00000005763_Cd247" "protein_coding" "1" "ENSMUSG00000005763" "Cd247" "Cd247"
"Rfx5" "ENSMUSG00000005774_Rfx5" "protein_coding" "3" "ENSMUSG00000005774" "Rfx5" "Rfx5"
"Psmb4" "ENSMUSG00000005779_Psmb4" "protein_coding" "3" "ENSMUSG00000005779" "Psmb4" "Psmb4"
"Mmp8" "ENSMUSG00000005800_Mmp8" "protein_coding" "9" "ENSMUSG00000005800" "Mmp8" "Mmp8"
"Slc30a4" "ENSMUSG00000005802_Slc30a4" "protein_coding" "2" "ENSMUSG00000005802" "Slc30a4" "Slc30a4"
"Sqor" "ENSMUSG00000005803_Sqor" "protein_coding" "2" "ENSMUSG00000005803" "Sqor" "Sqor"
"Bloc1s6" "ENSMUSG00000005804_Bloc1s6" "protein_coding" "2" "ENSMUSG00000005804" "Bloc1s6" "Bloc1s6"
"Metap1" "ENSMUSG00000005813_Metap1" "protein_coding" "3" "ENSMUSG00000005813" "Metap1" "Metap1"
"Gpr108" "ENSMUSG00000005823_Gpr108" "protein_coding" "17" "ENSMUSG00000005823" "Gpr108" "Gpr108"
"Tnfsf14" "ENSMUSG00000005824_Tnfsf14" "protein_coding" "17" "ENSMUSG00000005824" "Tnfsf14" "Tnfsf14"
"Gata6" "ENSMUSG00000005836_Gata6" "protein_coding" "18" "ENSMUSG00000005836" "Gata6" "Gata6"
"Rsl1d1" "ENSMUSG00000005846_Rsl1d1" "protein_coding" "16" "ENSMUSG00000005846" "Rsl1d1" "Rsl1d1"
"Cnga2" "ENSMUSG00000005864_Cnga2" "protein_coding" "X" "ENSMUSG00000005864" "Cnga2" "Cnga2"
"Apc" "ENSMUSG00000005871_Apc" "protein_coding" "18" "ENSMUSG00000005871" "Apc" "Apc"
"Reep5" "ENSMUSG00000005873_Reep5" "protein_coding" "18" "ENSMUSG00000005873" "Reep5" "Reep5"
"Ergic3" "ENSMUSG00000005881_Ergic3" "protein_coding" "2" "ENSMUSG00000005881" "Ergic3" "Ergic3"
"Uqcc1" "ENSMUSG00000005882_Uqcc1" "protein_coding" "2" "ENSMUSG00000005882" "Uqcc1" "Uqcc1"
"Spo11" "ENSMUSG00000005883_Spo11" "protein_coding" "2" "ENSMUSG00000005883" "Spo11" "Spo11"
"Ncoa2" "ENSMUSG00000005886_Ncoa2" "protein_coding" "1" "ENSMUSG00000005886" "Ncoa2" "Ncoa2"
"Prl4a1" "ENSMUSG00000005891_Prl4a1" "protein_coding" "13" "ENSMUSG00000005891" "Prl4a1" "Prl4a1"
"Trh" "ENSMUSG00000005892_Trh" "protein_coding" "6" "ENSMUSG00000005892" "Trh" "Trh"
